Collision Pairs (after SRDF filtering):
Pair 185: lewis_fr3_link1_0 <-> richard_fr3_link7_1
Pair 186: lewis_fr3_link1_0 <-> richard_fr3_link7_2
Pair 187: lewis_fr3_link1_0 <-> richard_fr3_link7_3
Pair 188: lewis_fr3_link1_0 <-> richard_fr3_link7_4
Pair 189: lewis_fr3_link1_1 <-> lewis_fr3_link4_0
Pair 190: lewis_fr3_link1_1 <-> lewis_fr3_link4_1
Pair 191: lewis_fr3_link1_1 <-> lewis_fr3_link4_2
Pair 192: lewis_fr3_link1_1 <-> lewis_fr3_link4_3
Pair 193: lewis_fr3_link1_1 <-> lewis_fr3_link5_0
Pair 194: lewis_fr3_link1_1 <-> lewis_fr3_link5_1
Pair 195: lewis_fr3_link1_1 <-> lewis_fr3_link5_2
Pair 196: lewis_fr3_link1_1 <-> lewis_fr3_link5_3
Pair 197: lewis_fr3_link1_1 <-> lewis_fr3_link5_4
Pair 198: lewis_fr3_link1_1 <-> lewis_fr3_link5_5
Pair 199: lewis_fr3_link1_1 <-> lewis_fr3_link5_6
Pair 200: lewis_fr3_link1_1 <-> lewis_fr3_link5_7
Pair 201: lewis_fr3_link1_1 <-> lewis_fr3_link5_8
Pair 202: lewis_fr3_link1_1 <-> lewis_fr3_link5_9
Pair 203: lewis_fr3_link1_1 <-> lewis_fr3_link5_10
Pair 204: lewis_fr3_link1_1 <-> lewis_fr3_link5_11
Pair 205: lewis_fr3_link1_1 <-> lewis_fr3_link6_0
Pair 206: lewis_fr3_link1_1 <-> lewis_fr3_link6_1
Pair 207: lewis_fr3_link1_1 <-> lewis_fr3_link6_2
Pair 208: lewis_fr3_link1_1 <-> lewis_fr3_link7_0
Pair 209: lewis_fr3_link1_1 <-> lewis_fr3_link7_1
Pair 210: lewis_fr3_link1_1 <-> lewis_fr3_link7_2
Pair 211: lewis_fr3_link1_1 <-> lewis_fr3_link7_3
Pair 212: lewis_fr3_link1_1 <-> lewis_fr3_link7_4
Pair 213: lewis_fr3_link1_1 <-> richard_fr3_link0_0
Pair 214: lewis_fr3_link1_1 <-> richard_fr3_link1_0
Pair 215: lewis_fr3_link1_1 <-> richard_fr3_link1_1
Pair 216: lewis_fr3_link1_1 <-> richard_fr3_link1_2
Pair 217: lewis_fr3_link1_1 <-> richard_fr3_link1_3
Pair 218: lewis_fr3_link1_1 <-> richard_fr3_link2_0
Pair 219: lewis_fr3_link1_1 <-> richard_fr3_link2_1
Pair 220: lewis_fr3_link1_1 <-> richard_fr3_link2_2
Pair 221: lewis_fr3_link1_1 <-> richard_fr3_link2_3
Pair 222: lewis_fr3_link1_1 <-> richard_fr3_link3_0
Pair 223: lewis_fr3_link1_1 <-> richard_fr3_link3_1
Pair 224: lewis_fr3_link1_1 <-> richard_fr3_link3_2
Pair 225: lewis_fr3_link1_1 <-> richard_fr3_link3_3
Pair 226: lewis_fr3_link1_1 <-> richard_fr3_link4_0
Pair 227: lewis_fr3_link1_1 <-> richard_fr3_link4_1
Pair 228: lewis_fr3_link1_1 <-> richard_fr3_link4_2
Pair 229: lewis_fr3_link1_1 <-> richard_fr3_link4_3
Pair 230: lewis_fr3_link1_1 <-> richard_fr3_link5_0
Pair 231: lewis_fr3_link1_1 <-> richard_fr3_link5_1
Pair 232: lewis_fr3_link1_1 <-> richard_fr3_link5_2
Pair 233: lewis_fr3_link1_1 <-> richard_fr3_link5_3
Pair 234: lewis_fr3_link1_1 <-> richard_fr3_link5_4
Pair 235: lewis_fr3_link1_1 <-> richard_fr3_link5_5
Pair 236: lewis_fr3_link1_1 <-> richard_fr3_link5_6
Pair 237: lewis_fr3_link1_1 <-> richard_fr3_link5_7
Pair 238: lewis_fr3_link1_1 <-> richard_fr3_link5_8
Pair 239: lewis_fr3_link1_1 <-> richard_fr3_link5_9
Pair 240: lewis_fr3_link1_1 <-> richard_fr3_link5_10
Pair 241: lewis_fr3_link1_1 <-> richard_fr3_link5_11
Pair 242: lewis_fr3_link1_1 <-> richard_fr3_link6_0
Pair 243: lewis_fr3_link1_1 <-> richard_fr3_link6_1
Pair 244: lewis_fr3_link1_1 <-> richard_fr3_link6_2
Pair 245: lewis_fr3_link1_1 <-> richard_fr3_link7_0
Pair 246: lewis_fr3_link1_1 <-> richard_fr3_link7_1
Pair 247: lewis_fr3_link1_1 <-> richard_fr3_link7_2
Pair 248: lewis_fr3_link1_1 <-> richard_fr3_link7_3
Pair 249: lewis_fr3_link1_1 <-> richard_fr3_link7_4
Pair 250: lewis_fr3_link1_2 <-> lewis_fr3_link4_0
Pair 251: lewis_fr3_link1_2 <-> lewis_fr3_link4_1
Pair 252: lewis_fr3_link1_2 <-> lewis_fr3_link4_2
Pair 253: lewis_fr3_link1_2 <-> lewis_fr3_link4_3
Pair 254: lewis_fr3_link1_2 <-> lewis_fr3_link5_0
Pair 255: lewis_fr3_link1_2 <-> lewis_fr3_link5_1
Pair 256: lewis_fr3_link1_2 <-> lewis_fr3_link5_2
Pair 257: lewis_fr3_link1_2 <-> lewis_fr3_link5_3
Pair 258: lewis_fr3_link1_2 <-> lewis_fr3_link5_4
Pair 259: lewis_fr3_link1_2 <-> lewis_fr3_link5_5
Pair 260: lewis_fr3_link1_2 <-> lewis_fr3_link5_6
Pair 261: lewis_fr3_link1_2 <-> lewis_fr3_link5_7
Pair 262: lewis_fr3_link1_2 <-> lewis_fr3_link5_8
Pair 263: lewis_fr3_link1_2 <-> lewis_fr3_link5_9
Pair 264: lewis_fr3_link1_2 <-> lewis_fr3_link5_10
Pair 265: lewis_fr3_link1_2 <-> lewis_fr3_link5_11
Pair 266: lewis_fr3_link1_2 <-> lewis_fr3_link6_0
Pair 267: lewis_fr3_link1_2 <-> lewis_fr3_link6_1
Pair 268: lewis_fr3_link1_2 <-> lewis_fr3_link6_2
Pair 269: lewis_fr3_link1_2 <-> lewis_fr3_link7_0
Pair 270: lewis_fr3_link1_2 <-> lewis_fr3_link7_1
Pair 271: lewis_fr3_link1_2 <-> lewis_fr3_link7_2
Pair 272: lewis_fr3_link1_2 <-> lewis_fr3_link7_3
Pair 273: lewis_fr3_link1_2 <-> lewis_fr3_link7_4
Pair 274: lewis_fr3_link1_2 <-> richard_fr3_link0_0
Pair 275: lewis_fr3_link1_2 <-> richard_fr3_link1_0
Pair 276: lewis_fr3_link1_2 <-> richard_fr3_link1_1
Pair 277: lewis_fr3_link1_2 <-> richard_fr3_link1_2
Pair 278: lewis_fr3_link1_2 <-> richard_fr3_link1_3
Pair 279: lewis_fr3_link1_2 <-> richard_fr3_link2_0
Pair 280: lewis_fr3_link1_2 <-> richard_fr3_link2_1
Pair 281: lewis_fr3_link1_2 <-> richard_fr3_link2_2
Pair 282: lewis_fr3_link1_2 <-> richard_fr3_link2_3
Pair 283: lewis_fr3_link1_2 <-> richard_fr3_link3_0
Pair 284: lewis_fr3_link1_2 <-> richard_fr3_link3_1
Pair 285: lewis_fr3_link1_2 <-> richard_fr3_link3_2
Pair 286: lewis_fr3_link1_2 <-> richard_fr3_link3_3
